Config;Sets;SetMisses;Gets;GetMisses;CacheSize;CacheThreads;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;t_user;t_system;t_wall;perc_cpu;size_resident;cycles;instructions_k;instructions_u;LLC-store;LLC-store-misses;LLC-loads;LLC-load-misses
big;200064;0;1799936;1498756;32;1;200;1875.600;86.266367;34.202887;17.553146;5.765486;77.09;387.57;466.667246659;96;37160;202263392221;63325709510;6667960816;938053649;40326410;4016515915;99500800
big;200064;0;1799936;1493333;32;1;300;1332.00;80.942458;24.601809;12.108783;4.036524;52.30;267.43;321.765258876;99;37232;209020381586;61946321457;6665172451;921894751;36175773;3961559719;93977004
big;200064;0;1799936;1492574;32;1;400;1054.800;78.639104;19.655305;9.401724;3.203340;39.51;205.04;247.955849617;98;37232;212577901223;60489312668;6665363368;911341818;34736020;3904967505;91547717
big;200064;0;1799936;1491731;32;1;500;896.400;78.158077;16.765724;7.814782;2.677340;32.07;168.17;205.802771035;97;37228;216908382182;59341845809;6669799475;919925798;33551785;3825799227;90974949
big;200064;0;1799936;1494032;32;1;600;784.800;77.571850;14.715376;6.708604;2.298357;27.84;142.27;176.637720789;96;37152;219370094046;58132827393;6667319361;901279726;33488310;3820483074;91056424
big;200064;0;1799936;1494896;32;1;700;723.600;78.732469;13.594996;6.085294;2.085064;24.00;126.53;159.978716907;93;37160;227690927666;57873737982;6672521821;874598743;32613545;3737713549;91660871
big;200064;0;1799936;1497329;32;1;800;673.200;84.126599;12.487240;5.504064;1.885710;21.63;110.60;144.557379391;91;37312;231230578870;57361486276;6674679178;891509494;31842946;3676940665;90192177
big;200064;0;1799936;1497653;32;1;900;644.400;89.517310;11.774247;5.126922;1.784455;19.82;100.64;134.672276800;89;37192;237997698594;57115030689;6678707848;902462731;31741304;3731520816;90814110
big;200064;0;1799936;1498214;32;1;1000;622.800;96.567025;11.187494;4.801065;1.721861;17.67;92.60;126.557456899;86;37240;245110472165;56935742296;6682784030;906367241;31687937;3657174889;90502353
big;200064;0;1799936;1498401;32;1;1100;622.800;106.389286;10.936329;4.676666;1.716864;16.69;88.24;122.904519280;85;37260;257155737476;57013912857;6686936034;877558907;32199333;3676980380;91253229
big;200064;0;1799936;1498778;32;1;1200;615.600;115.547472;10.576808;4.555423;1.681359;13.81;83.85;117.538164173;82;37252;263786862477;57073906950;6784482614;922135833;31562154;3724162240;91048350
big;200064;0;1799936;1498896;32;1;1300;619.200;126.611619;10.375350;4.531227;1.696613;14.94;77.97;114.925634985;80;37172;272329928727;57205970889;6725222445;904163404;32208293;3745116791;90898962
big;200064;0;1799936;1498574;32;1;1400;633.600;136.643491;10.377454;4.589350;1.712919;14.42;75.77;115.409467575;77;37312;287414788513;57726655111;6740011366;920481001;31381282;3812916489;89657794
big;200064;0;1799936;1498373;32;1;1500;651.600;150.563555;10.357466;4.610653;1.727384;13.81;72.80;115.707263976;74;37176;298311273123;58167983826;6742149278;952157877;30889317;3862393016;89190907
big;200064;0;1799936;1498643;32;1;1600;716.400;192.993082;10.495804;4.681137;1.829165;12.49;68.01;117.195504788;68;36984;319030764876;58905756981;6768506940;967293076;30965059;3898008844;89575413
big;200064;0;1799936;1498295;32;1;1700;709.200;192.854218;10.421112;4.628537;1.800498;12.83;67.79;115.979420519;69;37196;320426549485;59004207022;6784217245;973993221;31120268;3918089100;90106443
big;200064;0;1799936;1498526;32;1;1800;745.200;220.506038;10.462929;4.686397;1.949619;12.54;67.03;115.792610056;68;37260;337440369533;59154253022;7012841104;950423110;31988857;3946049020;93528385
big;200064;0;1799936;1499201;32;1;1900;792.00;254.392536;10.361674;4.713486;1.939099;11.93;64.20;115.851505774;65;37256;341365923200;59089958172;6766361340;949446711;30135994;3867682374;88809105
big;200064;0;1799936;1498618;32;1;2000;871.200;311.539017;10.415589;4.814478;2.140557;11.39;62.70;116.001029599;63;37256;351119121160;59168182814;6795768301;959468220;31312040;3939357888;88817180
big;200064;0;1799936;1498578;32;2;200;1717.200;83.676869;31.421925;15.865475;5.197406;91.42;409.95;424.590147394;117;37284;202892507193;65467476279;6978812981;951282612;37589372;3873770711;99025893
big;200064;0;1799936;1498349;32;2;300;1220.400;76.418332;22.614844;11.043370;3.589424;60.19;239.53;294.162721198;101;37208;195501859618;61997977499;6952537807;863451909;35012609;3517613002;95881412
big;200064;0;1799936;1498126;32;2;400;975.600;74.263573;18.259038;8.677948;2.907991;46.64;173.52;229.624018654;95;37352;196667102900;60327840783;6955248277;848509976;32841870;3460139198;93438820
big;200064;0;1799936;1497767;32;2;500;838.800;74.488175;15.696629;7.304562;2.490084;37.65;141.17;192.720786201;92;37220;203082937286;60012180999;6980826153;851994132;31772703;3452377085;92315172
big;200064;0;1799936;1499211;32;2;600;748.800;75.575417;14.004750;6.386955;2.183163;32.84;123.00;167.902552373;92;37348;212516633468;59914617895;6994881666;866025413;31136838;3501529040;90387021
big;200064;0;1799936;1498388;32;2;700;684.00;76.989042;12.753922;5.738397;1.950671;29.09;110.23;149.941940495;92;37336;221857646104;60052889113;7003216683;870759116;31110867;3491589642;89912420
big;200064;0;1799936;1498935;32;2;800;644.400;83.101688;11.842364;5.237908;1.781299;25.16;103.92;137.018416401;93;37312;233621973010;60229135024;7000749045;878077066;31479451;3547584923;90178805
big;200064;0;1799936;1498074;32;2;900;612.00;90.422293;11.079138;4.776080;1.648221;24.45;102.02;125.438884696;100;37308;249161117284;60474458074;6992289500;894226077;32104472;3680305340;90922782
big;200064;0;1799936;1498870;32;2;1000;594.000;102.006391;10.441626;4.443648;1.601933;21.57;113.32;116.430896594;115;37236;275422450526;61254975563;6968115884;964065758;32224613;3965631734;89637177
big;200064;0;1799936;1499250;32;2;1100;604.800;114.039693;10.358518;4.469422;1.646380;20.50;108.30;115.870073749;110;37344;292106582077;62164572764;7017188228;993946309;31601666;4066588204;87669078
big;200064;0;1799936;1498282;32;2;1200;622.800;126.574010;10.372194;4.548059;1.681885;18.53;103.20;116.093021318;104;37240;305486678966;62841052887;7008035521;994049702;31488894;4110020029;88615267
big;200064;0;1799936;1498763;32;2;1300;640.800;139.589880;10.338267;4.600133;1.723702;18.13;97.63;116.247182399;99;37232;318213969776;63313531526;7006471652;1015737666;31309236;4181426927;88838058
big;200064;0;1799936;1498108;32;2;1400;655.200;150.020460;10.288560;4.608286;1.726595;17.13;95.50;116.251870820;96;37236;335522698966;63477045954;6985137494;1012834137;30647807;4185350164;86421232
big;200064;0;1799936;1498745;32;2;1500;676.800;164.854449;10.342475;4.626696;1.738956;16.87;91.70;116.250597663;93;37256;348448336553;63637514041;6979643494;1034482577;30890119;4248367797;87107797
big;200064;0;1799936;1497934;32;2;1600;738.000;210.493628;10.306444;4.639846;1.833110;15.29;85.73;116.256641823;86;37260;372766542714;64087704731;6995760343;1050119109;30589346;4247487851;86387349
big;200064;0;1799936;1498133;32;2;1700;738.000;211.005163;10.311967;4.645895;1.835214;15.26;85.98;116.213936983;86;37388;372867639988;64015586779;6995698942;1047109332;30556212;4279229052;86268837
big;200064;0;1799936;1498445;32;2;1800;777.600;239.950680;10.301710;4.697443;1.902016;14.48;85.38;116.064664613;85;37232;392176354989;64213470329;7014169210;1047160118;30918117;4273315154;86693573
big;200064;0;1799936;1499119;32;2;1900;835.200;279.251559;10.341160;4.766086;1.989332;15.22;81.96;115.849190281;83;37316;404520080124;64322524775;6985770132;1033663325;31513604;4248515636;88472256
big;200064;0;1799936;1498409;32;2;2000;925.200;344.059756;10.372194;4.820264;2.193420;13.84;81.52;115.766223526;82;37236;420126011728;64457164219;7147989753;1037590885;32149170;4308279450;89488675
big;200064;0;1799936;1296136;64;1;200;2066.400;94.014610;38.240989;19.099323;6.248617;80.29;424.41;514.064323478;97;69920;222007935144;70195427350;6942963963;1048393483;50903408;4300961319;130852205
big;200064;0;1799936;1294694;64;1;300;1461.600;88.551574;27.512956;13.104764;4.320038;54.98;294.57;353.672681722;98;69980;229817778751;68500099557;6935070381;1034226800;47614654;4251511431;124856565
big;200064;0;1799936;1291655;64;1;400;1159.200;86.180103;22.066489;10.198351;3.457661;40.63;224.68;272.839876674;96;69992;233989661912;66971562148;6942370944;980931217;45106330;4096745817;122159570
big;200064;0;1799936;1291032;64;1;500;986.400;85.787707;18.832378;8.524093;2.927453;34.96;182.15;226.518647007;95;69916;239466809511;65829154636;6945183336;1002128220;43442805;4122632948;120264555
big;200064;0;1799936;1292028;64;1;600;867.600;85.114953;16.682353;7.369260;2.527693;28.57;152.95;194.619287197;93;70000;241809309014;64688209946;6948134063;995533133;42520199;4057610600;120269768
big;200064;0;1799936;1293186;64;1;700;810.000;87.167405;15.475183;6.755418;2.319923;25.21;134.73;178.400049207;89;70004;251921481586;64650871866;6957854189;990972318;40191594;4048278356;119980881
big;200064;0;1799936;1294693;64;1;800;774.000;95.206526;14.567570;6.290171;2.155022;22.11;120.11;165.822861211;85;69996;261425993457;64899895844;6967412897;1009440908;40970342;4066689071;119834321
big;200064;0;1799936;1295262;64;1;900;745.200;101.862530;13.868779;5.914344;2.040880;21.13;107.14;155.689854625;82;70068;269586141744;64832751298;6975894300;1000209787;40776142;4078499932;119470842
big;200064;0;1799936;1294923;64;1;1000;730.800;110.739306;13.358822;5.631882;1.969607;19.41;96.69;148.399152242;78;70000;278769427751;65137042944;6988244491;1010161523;40939921;4026772900;119698301
big;200064;0;1799936;1296591;64;1;1100;730.800;122.205054;13.090036;5.504853;1.986176;18.62;90.78;144.978359723;75;70056;291392302948;65387682975;6993093576;1022665565;40772639;4088108179;119341025
big;200064;0;1799936;1295840;64;1;1200;734.400;135.261163;12.992463;5.398075;2.160019;17.62;85.22;141.613784328;72;70028;306360025597;66141365565;7541169415;1027458882;42930097;4187902285;127847371
big;200064;0;1799936;1296099;64;1;1300;745.200;148.179986;12.714735;5.378350;2.024837;16.28;80.42;139.893413020;68;69948;313784760953;66247594735;7125819136;1050815795;40576154;4186001048;120538669
big;200064;0;1799936;1295651;64;1;1400;759.600;159.414557;12.737090;5.424638;2.066391;16.33;77.12;139.985271093;66;69952;331210909885;66720614169;7181364986;1035146842;41539928;4207567432;121738581
big;200064;0;1799936;1295043;64;1;1500;781.200;175.269775;12.727359;5.524315;2.061657;15.14;74.21;140.157762699;63;70000;342018254758;67107265747;7052602718;1054116813;40193301;4214298367;120495436
big;200064;0;1799936;1296185;64;1;1600;846.000;223.533694;12.699481;5.590328;2.148710;14.30;68.73;140.297021548;59;70028;365902371328;67801084047;7069603865;1062233755;39413638;4268235331;118658634
big;200064;0;1799936;1295411;64;1;1700;846.000;224.221702;12.701848;5.602952;2.178429;14.19;69.12;140.386944872;59;69960;366185268537;67775755267;7133566252;1072023399;39287517;4305994260;118566960
big;200064;0;1799936;1295993;64;1;1800;889.200;255.672031;12.763390;5.617943;2.285996;13.22;68.06;140.366845464;57;70052;383959879061;67992622472;7422007177;1043970483;40022383;4317770779;120729023
big;200064;0;1799936;1295678;64;1;1900;946.800;297.198153;12.748136;5.682904;2.290204;13.89;64.92;140.390975249;56;70052;393665958322;68269364292;7074210314;1086404412;39130171;4341939486;118085804
big;200064;0;1799936;1296108;64;1;2000;1036.800;363.612228;12.803892;5.806777;2.502182;12.88;63.54;140.424705436;54;69956;404494345810;68240492158;7081551355;1059548858;40191007;4333531632;118925263
big;200064;0;1799936;1294589;64;2;200;1976.400;94.197395;36.458638;18.177245;5.908295;95.20;444.33;489.407314477;109;69980;227582654048;73931810689;7257850475;1051984964;47321204;4190482483;132005817
big;200064;0;1799936;1294563;64;2;300;1411.200;86.544884;26.635062;12.607957;4.097277;65.08;260.65;340.759113728;95;70056;221094224714;70370999318;7272190373;984307279;44400039;3943596692;129694701
big;200064;0;1799936;1295768;64;2;400;1130.400;84.463239;21.499724;9.905632;3.251732;48.86;191.69;266.333541869;90;70052;223180027230;68623440197;7258716036;957803905;41769361;3817277131;123955632
big;200064;0;1799936;1295547;64;2;500;975.600;85.477104;18.606987;8.455450;2.864333;41.28;155.81;224.542622659;87;70072;232543930110;68462482559;7283828680;968307848;41068552;3872470322;122589093
big;200064;0;1799936;1296069;64;2;600;874.800;86.858643;16.655527;7.405817;2.539265;35.20;135.99;195.988287736;87;70048;243324954377;68431933082;7301043404;954442369;40420512;3854917332;121138376
big;200064;0;1799936;1295824;64;2;700;799.200;88.341963;15.229015;6.645221;2.277580;32.28;120.59;175.517458035;86;70056;254046557377;68407869273;7308559157;966382584;40320842;3906403394;120726060
big;200064;0;1799936;1295745;64;2;800;759.600;96.271413;14.287212;6.154726;2.110049;29.11;112.28;162.188909351;86;70012;268427386214;68831314210;7305221054;981864366;40230022;4016770542;119429970
big;200064;0;1799936;1295081;64;2;900;734.400;105.067974;13.632342;5.766538;1.978812;25.56;108.31;152.022539729;87;69984;284264134661;69273619946;7301343997;1005854531;40888548;4084739511;120642414
big;200064;0;1799936;1295554;64;2;1000;716.400;117.668830;12.963796;5.418326;1.933050;24.17;113.57;142.725901141;96;70068;308887898683;69950711565;7278229179;1063974614;41449376;4357522845;119435767
big;200064;0;1799936;1296803;64;2;1100;730.800;132.234033;12.901202;5.367041;2.099266;21.94;109.89;140.942010500;93;70000;329819217810;71098446545;7736373397;1103761523;41984077;4487075714;123622001
big;200064;0;1799936;1295602;64;2;1200;745.200;145.926076;12.775488;5.420693;2.032990;21.09;103.80;140.773810992;88;70084;343387159572;71778016858;7389849487;1107186743;40446966;4552967887;118932783
big;200064;0;1799936;1295882;64;2;1300;766.800;162.400922;12.778644;5.509324;2.097425;20.00;100.13;140.800813733;85;70028;361336675727;72547189143;7425222439;1149629860;40202701;4675689889;118882926
big;200064;0;1799936;1295694;64;2;1400;784.800;174.676447;12.756026;5.572707;2.073755;19.34;97.48;140.989064915;82;70088;381256677410;72848841055;7292577826;1135875737;39647095;4633655038;116992417
big;200064;0;1799936;1295155;64;2;1500;806.400;191.873754;12.757341;5.585331;2.086116;18.65;94.01;140.879780023;79;70004;397460650246;73264295511;7291697094;1148141980;40103397;4668472147;118297813
big;200064;0;1799936;1295311;64;2;1600;878.400;244.722026;12.741561;5.609527;2.222350;17.02;87.80;140.856129225;74;70012;424720211273;73636921763;7381090256;1135527620;39914199;4739203745;117392826
big;200064;0;1799936;1294879;64;2;1700;882.000;245.031840;12.744717;5.611105;2.194998;16.58;87.90;140.913185089;73;70076;424667070621;73751112834;7312277414;1148502837;39409231;4696830434;115741767
big;200064;0;1799936;1295609;64;2;1800;928.800;280.017678;12.799684;5.666861;2.282051;16.87;86.83;140.842398213;73;70036;448145348792;73904304222;7446738369;1157449717;40935598;4732988933;119715764
big;200064;0;1799936;1294882;64;2;1900;993.600;326.894798;12.807837;5.738923;2.411184;15.90;85.05;140.810699300;71;70084;462419787665;73990585789;7318550347;1137507930;41215332;4711483695;118286888
big;200064;0;1799936;1295112;64;2;2000;1098.000;398.159645;12.768124;5.840178;2.564776;15.48;82.66;140.851357292;69;70092;474846997643;74145365079;7311142740;1163824397;41109156;4749893702;117905434
big;200064;0;1799936;989677;128;1;200;2350.800;106.660965;44.069332;21.661469;7.040510;87.51;477.44;583.894942979;96;135600;251581098714;80638690380;7389017536;1183441757;65897054;4671721506;179656606
big;200064;0;1799936;989091;128;1;300;1641.600;98.911933;31.710962;14.628323;4.767664;58.33;327.23;395.863562566;97;135472;256892803864;78251768124;7364368642;1132862236;61465484;4506214155;172575406
big;200064;0;1799936;987340;128;1;400;1328.400;98.160279;25.772422;11.549645;3.856632;45.61;253.46;311.777293781;95;135592;267205603456;77047233902;7364462049;1141586672;58803951;4565708631;166412530
big;200064;0;1799936;987466;128;1;500;1134.000;97.684512;22.190099;9.677348;3.328265;36.85;203.15;259.264292600;92;135540;272265115342;75729485158;7368144162;1126816095;57306611;4470230986;166032295
big;200064;0;1799936;987043;128;1;600;1008.00;97.902013;19.846506;8.502527;2.930083;31.80;169.03;225.682975224;88;135540;278008083804;74901693501;7378314696;1103164617;55466939;4421771003;166424666
big;200064;0;1799936;988481;128;1;700;950.400;100.747147;18.625660;7.898153;2.714160;28.07;145.02;208.910137664;82;135464;289884436146;75350711783;7396468413;1136294415;53972316;4468138600;165978140
big;200064;0;1799936;989184;128;1;800;921.600;111.203764;17.786690;7.480772;2.562935;26.05;125.13;197.439167957;76;135600;301968443370;76098517688;7419769225;1148569112;53825273;4475031007;163881668
big;200064;0;1799936;988908;128;1;900;910.800;121.897607;17.345902;7.228292;2.487717;23.58;111.43;190.515056940;70;135460;315328866383;76973300380;7442452063;1139124880;54073765;4543583982;167160146
big;200064;0;1799936;988364;128;1;1000;907.200;133.490910;16.962448;7.046822;2.428542;22.06;100.11;185.748757652;65;135468;329452458094;78033872896;7463656902;1163721237;53458320;4601920055;166258525
big;200064;0;1799936;989158;128;1;1100;918.000;148.470864;16.785712;6.989751;2.469307;20.57;92.39;183.569439912;61;135464;345931922002;78930569494;7475716568;1170181098;53110667;4646540803;166066441
big;200064;0;1799936;989397;128;1;1200;936.00;164.493350;16.666836;6.913218;2.541632;19.38;85.67;182.205145197;57;135552;360390142536;79770594511;7573460851;1206480484;53003637;4734289403;164902948
big;200064;0;1799936;989345;128;1;1300;957.600;182.417852;16.711809;6.929787;2.622373;19.15;79.68;181.964446250;54;135564;376482595880;80635415031;7789153500;1224413239;53502993;4783087358;166777797
big;200064;0;1799936;988966;128;1;1400;975.600;195.747744;16.650004;6.982387;2.575296;18.36;76.96;182.119484368;52;135496;394900250040;80856112541;7534034660;1231072795;52941394;4815734665;164474172
big;200064;0;1799936;989417;128;1;1500;1000.800;214.628777;16.544541;7.040510;2.586868;17.09;73.79;182.002938007;49;135552;409245311435;81474941732;7547490372;1244559061;53030529;4846345651;161966309
big;200064;0;1799936;988792;128;1;1600;1080.0;275.604275;16.670255;7.246176;2.771231;15.99;68.09;182.150887080;46;135500;438931947453;82049542977;7611552176;1247445594;54486607;4913437099;164747839
big;200064;0;1799936;988410;128;1;1700;1080.0;274.873924;16.601349;7.257485;2.758607;15.63;68.32;182.147921896;46;135508;437902722550;82161889089;7597599991;1253908491;53133731;4944831850;162930758
big;200064;0;1799936;989546;128;1;1800;1130.400;313.072833;16.565844;7.258274;2.821464;15.64;66.22;182.106571029;44;135508;456428354802;82124682391;7575902527;1244125865;52601530;4908632630;161930514
big;200064;0;1799936;988232;128;1;1900;1202.400;366.628312;16.598982;7.331914;2.945337;15.64;63.97;182.374550021;43;135552;472306637480;82551624554;7604580938;1264476806;52954347;5003383826;162429040
big;200064;0;1799936;988733;128;1;2000;1310.400;445.335007;16.635013;7.482350;3.126807;14.39;62.63;182.138412379;42;135492;486338981551;82962534750;7618909769;1267878252;53102219;4976698633;163332491
big;200064;0;1799936;988774;128;2;200;2358.000;109.766206;44.209511;21.674093;6.935047;103.63;493.61;585.333877005;101;135528;262656757416;86136686211;7702640236;1199260662;63067462;4705610221;181830546
big;200064;0;1799936;989385;128;2;300;1695.600;102.287538;32.443680;15.112769;4.902846;70.02;298.75;408.816787810;90;135600;259801890196;82943580315;7707332566;1159208446;58486936;4542918621;174870528
big;200064;0;1799936;989844;128;2;400;1364.400;100.357907;26.437023;11.975705;3.951838;53.64;219.01;321.521764261;84;135600;263620235608;81108392205;7714077424;1103728154;57497191;4398171139;171313412
big;200064;0;1799936;988612;128;2;500;1188.00;101.917760;23.038537;10.250425;3.487643;45.14;178.68;272.521431463;81;135596;275502406072;80947498550;7737907616;1143736268;55734055;4457748376;168505783
big;200064;0;1799936;990242;128;2;600;1062.000;103.367416;20.700467;9.051408;3.098403;39.20;152.59;238.570935832;80;135600;286847797774;80729622386;7750429116;1131294559;54864115;4481568250;167734261
big;200064;0;1799936;988902;128;2;700;975.600;105.552157;19.020686;8.166413;2.790693;34.01;136.81;214.724210685;79;135548;299835075349;80726953070;7755621910;1127496499;54290486;4481143074;165744173
big;200064;0;1799936;988708;128;2;800;943.200;115.832038;18.158835;7.658560;2.623425;31.19;124.91;201.776820814;77;135628;318201793243;81712744978;7758535618;1139098904;53687759;4616944186;165026237
big;200064;0;1799936;989175;128;2;900;925.200;127.682818;17.471090;7.321131;2.519014;28.85;117.61;192.545568616;75;135596;338353428087;82636676246;7750924559;1178789721;53785588;4780695370;164064896
big;200064;0;1799936;988883;128;2;1000;925.200;142.800584;16.965341;7.110994;2.516910;26.50;112.15;186.799884059;74;135540;359936468925;83862724953;7751425281;1215843082;52108518;4912979291;162021975
big;200064;0;1799936;988287;128;2;1100;936.00;159.546846;16.829107;6.988173;2.577663;24.31;109.12;183.864625927;72;135636;383235601661;85123794683;7890544139;1260354003;52856240;5051923443;164587950
big;200064;0;1799936;988581;128;2;1200;954.000;177.550511;16.653423;7.003953;2.603437;24.37;102.58;182.600027807;69;135560;402419093723;86094526576;7831792498;1279566093;52483751;5146296467;162147851
big;200064;0;1799936;988458;128;2;1300;982.800;198.523183;16.785975;7.054975;2.844345;22.27;98.44;182.558585361;66;135556;426802550872;87379901004;8858569997;1316314342;54554983;5320700290;172681850
big;200064;0;1799936;989433;128;2;1400;997.200;212.309643;16.571367;7.105734;2.664716;21.60;96.69;182.593477522;64;135692;447209102569;87335196688;7826987202;1302354700;52068146;5330128040;162981431
big;200064;0;1799936;989811;128;2;1500;1026.000;233.437748;16.567422;7.170169;2.655511;20.35;93.52;182.167015628;62;135640;466235729341;87941367127;7783532346;1321882483;51850977;5327270625;161680527
big;200064;0;1799936;989407;128;2;1600;1112.400;298.684366;16.601612;7.270635;2.826461;18.79;87.23;182.333368137;58;135548;500420059349;88630066232;7813197912;1336308146;52258706;5393690627;161635460
big;200064;0;1799936;987970;128;2;1700;1112.400;296.253457;16.637643;7.260115;2.832510;18.57;85.25;182.486085089;56;135560;494339642785;88087747171;7877365285;1315810161;53461531;5347754317;163325899
big;200064;0;1799936;989206;128;2;1800;1173.600;342.548821;16.782819;7.284311;3.121810;18.78;85.00;182.473996627;56;135556;529188723476;89184542409;8657972409;1344737780;55510491;5500951361;171377168
big;200064;0;1799936;988319;128;2;1900;1252.800;399.407317;16.570578;7.367682;3.045540;18.11;83.98;182.480991782;55;135636;544077097816;89216441627;7858255498;1339822677;52806551;5441748002;161518304
big;200064;0;1799936;989238;128;2;2000;1378.800;488.392315;16.560321;7.530479;3.354828;17.62;82.25;182.297537039;54;135644;562146261632;89439853379;8112051367;1346948649;54047847;5538119466;164724646
big;200064;0;1799936;573663;256;1;200;2775.600;125.025992;52.562128;25.517838;8.325265;96.09;553.47;688.198013900;94;266544;294599515174;96043104253;8007517426;1374275548;87446673;5164184176;241672821
big;200064;0;1799936;573101;256;1;300;1926.000;116.086622;37.541409;17.159435;5.632145;64.85;382.80;462.581009255;96;266612;300906880115;92608992710;7961909838;1318876003;79825175;5044521117;231676893
big;200064;0;1799936;573425;256;1;400;1562.400;114.471013;30.890928;13.659694;4.544640;49.62;285.18;365.473105636;91;266596;309096729493;91312506072;7964406770;1295706931;80027623;4940965042;231167910
big;200064;0;1799936;573822;256;1;500;1350.000;115.393354;26.905689;11.579627;3.974456;40.92;233.28;308.231113385;88;266612;320683751870;90163127252;7960051039;1303036626;75923978;4971260650;225976011
