Config;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;instructions_k;i_k_stdev;instructions_u;i_u_stdev;cycles;cycles_stdev;time;time_stdev
big_global_idle;200000;381.600;5.692109;6.279125;3.776417;1.176925;9828397;2.34;28755892;2.32;280001;10.90;10.017579148;0.01
big_global_idle;300000;378.000;6.113961;6.238360;3.717242;1.110386;12637644;1.51;39769764;1.42;304333;10.94;10.011413837;0.00
big_global_idle;400000;378.000;6.646010;6.217320;3.706985;1.107493;12633698;1.45;41865126;1.66;277641;15.36;10.009301901;0.00
big_global_idle;500000;378.000;7.354269;6.221528;3.707248;1.106441;11160784;5.54;40303817;5.42;306350;14.08;10.008055596;0.00
big_global_idle;600000;381.600;7.963903;6.221791;3.707511;1.107493;11668451;2.01;44792106;1.82;281520;10.66;10.007406752;0.00
big_global_idle;700000;381.600;8.552497;6.206274;3.697780;1.106704;9510185;5.24;39849975;4.68;289582;12.01;10.006762901;0.00
big_global_idle;800000;381.600;9.976642;6.212586;3.697780;1.110649;9443465;2.52;40395999;2.76;200102;1.72;10.006244521;0.00
big_global_idle;900000;385.200;11.651689;6.215742;3.697780;1.108808;12336953;21.85;56023374;23.13;2051432;89.58;10.006021786;0.00
big_global_idle;1000000;388.800;13.354351;6.211271;3.698306;1.115383;8200783;4.02;41314130;4.33;220398;4.62;10.005661411;0.00
big_global_idle;1100000;388.800;15.186935;6.210219;3.699621;1.122747;7360420;3.89;37344890;4.17;253811;11.59;10.005498879;0.00
big_global_idle;1200000;392.400;17.328807;6.209956;3.699621;1.136686;5333843;3.89;27521921;4.10;238747;13.44;10.005298208;0.00
big_global_idle;1300000;396.00;19.697911;6.215216;3.700936;1.136949;7109295;4.10;40759195;4.31;219167;7.22;10.005266696;0.00
big_global_idle;1400000;399.600;21.312994;6.213375;3.700673;1.152466;6729178;6.75;37523530;6.58;247859;12.25;10.004972821;0.00
big_global_idle;1500000;403.200;24.081332;6.212323;3.704355;1.156674;6082418;8.82;35895973;9.52;236103;14.83;10.004906404;0.00
big_global_idle;1600000;414.000;32.909190;6.213638;3.735915;1.186919;6545835;3.38;41118274;3.57;263626;10.42;10.004775795;0.00
big_global_idle;1700000;414.000;32.941539;6.214427;3.734600;1.191916;6008090;3.72;37042291;3.74;251298;10.58;10.004748183;0.00
big_global_idle;1800000;421.200;38.343296;6.213375;3.766686;1.200858;5214842;3.77;34225490;4.25;215269;6.78;10.004666869;0.00
big_global_idle;1900000;435.600;45.500578;6.214164;3.806136;1.207696;7721459;3.53;57096195;3.49;215219;5.23;10.004532992;0.00
big_global_idle;2000000;453.600;58.090388;6.212323;3.809029;1.219005;10622126;4.31;80195263;4.61;231272;12.73;10.004552069;0.00
little_global_idle_bigNet;200000;378.000;5.726299;6.313052;3.829017;1.224265;16627158;3.04;47059834;2.93;222241;6.20;10.022668687;0.00
little_global_idle_bigNet;300000;378.000;6.176818;6.290960;3.747224;1.145102;15464708;1.45;43268969;1.55;207230;3.83;10.020958102;0.00
little_global_idle_bigNet;400000;378.000;6.740164;6.293853;3.746961;1.148784;18561990;2.56;51642262;2.54;217454;6.14;10.020453614;0.00
little_global_idle_bigNet;500000;378.000;7.417652;6.294116;3.746961;1.154570;19755965;2.01;55275776;1.98;218974;7.19;10.020173482;0.00
little_global_idle_bigNet;600000;381.600;7.967322;6.294905;3.746435;1.154570;19593901;1.57;54891904;1.66;217105;8.74;10.020137114;0.00
little_global_idle_bigNet;700000;381.600;8.602993;6.299376;3.746698;1.159304;21386555;0.74;60216897;0.91;302907;11.71;10.020043633;0.00
little_global_idle_bigNet;800000;381.600;10.055279;6.297535;3.746961;1.160619;18911452;1.70;53034366;1.65;284696;12.70;10.019987600;0.00
little_global_idle_bigNet;900000;385.200;11.669836;6.300165;3.746435;1.155359;19082110;1.24;53367413;1.18;268525;13.62;10.019945496;0.00
little_global_idle_bigNet;1000000;388.800;13.470860;6.304373;3.747750;1.159041;18821784;1.92;52660634;1.88;263416;12.25;10.020334743;0.00
little_global_idle_bigNet;1100000;388.800;15.202189;6.298061;3.746435;1.156937;19392978;1.08;54233658;1.24;266569;12.66;10.020035449;0.00
little_global_idle_bigNet;1200000;392.400;17.374832;6.295957;3.746435;1.158252;20424595;1.69;57082559;1.68;286764;12.62;10.019682482;0.00
little_global_idle_bigNet;1300000;396.00;19.848347;6.300165;3.748539;1.168772;19653388;1.37;54748207;1.36;266808;12.93;10.020298640;0.00
little_global_idle_bigNet;1400000;399.600;21.317465;6.301480;3.746961;1.171665;20443895;1.25;57146778;1.31;286107;12.34;10.019656681;0.00
big_global_idle_bigNet;200000;378.000;5.019618;6.259137;3.685419;1.114068;8139834;9.07;23490709;9.23;217953;5.73;10.016804734;0.00
big_global_idle_bigNet;300000;378.000;5.617417;6.230207;3.632293;1.106178;7441838;3.22;22941729;3.53;218498;6.76;10.011474718;0.00
big_global_idle_bigNet;400000;378.000;6.190757;6.212849;3.621773;1.105652;5975987;7.02;19296435;7.06;207800;3.84;10.009468247;0.00
big_global_idle_bigNet;500000;378.000;6.954772;6.213901;3.622562;1.103811;10046596;3.42;37127807;3.10;204349;3.72;10.008132527;0.00
big_global_idle_bigNet;600000;378.000;7.513910;6.218109;3.618880;1.103811;9159968;5.27;36223353;5.38;197845;0.51;10.007451094;0.00
big_global_idle_bigNet;700000;381.600;8.094877;6.219424;3.618354;1.106441;8002632;3.61;32736109;3.07;196862;0.01;10.006763558;0.00
big_global_idle_bigNet;800000;381.600;9.510080;6.201540;3.605993;1.101181;8179278;4.38;35300815;3.90;200880;1.99;10.006300060;0.00
big_global_idle_bigNet;900000;381.600;10.975516;6.200751;3.603626;1.102233;10894330;3.05;51316846;3.24;200899;2.02;10.006081131;0.00
big_global_idle_bigNet;1000000;385.200;12.672655;6.201277;3.608360;1.100392;8869519;5.56;39714120;6.05;200864;2.01;10.005660642;0.00
big_global_idle_bigNet;1100000;388.800;14.476046;6.203644;3.616776;1.101444;8285175;3.60;38194661;3.84;200880;2.02;10.005495998;0.00
big_global_idle_bigNet;1200000;392.400;16.480895;6.200488;3.621247;1.100392;6432031;12.88;31155049;13.08;200928;2.02;10.005388212;0.00
big_global_idle_bigNet;1300000;392.400;18.744799;6.200751;3.642024;1.100392;3209127;5.05;14410823;5.13;197836;0.51;10.005077868;0.00
big_global_idle_bigNet;1400000;396.00;20.275459;6.197332;3.625192;1.100392;3587033;11.18;16927586;12.92;197026;0.06;10.004967428;0.00
big_global_idle_bigNet;1500000;399.600;22.848388;6.199962;3.626770;1.100655;6056753;5.30;35274859;5.37;200858;2.02;10.004911548;0.00
big_global_idle_bigNet;1600000;410.400;31.344077;6.201803;3.662538;1.102496;6307121;5.27;39803589;5.17;201014;2.01;10.004782549;0.00
big_global_idle_bigNet;1700000;410.400;31.407723;6.204170;3.673321;1.103285;6988448;9.33;44868224;10.22;201010;2.00;10.004834155;0.00
big_global_idle_bigNet;1800000;417.600;36.632744;6.201540;3.679633;1.103285;6070324;5.31;38920120;4.98;204321;2.45;10.004715094;0.00
big_global_idle_bigNet;1900000;432.00;43.460487;6.202329;3.696991;1.104863;7016072;4.30;47437028;4.15;200881;2.02;10.004610955;0.00
big_global_idle_bigNet;2000000;446.400;54.812093;6.200751;3.697780;1.114068;6463938;5.38;45620897;5.26;200426;1.71;10.004674742;0.00
little_global_idle;200000;385.200;5.831499;6.266764;3.801928;1.259507;20156674;1.11;57288013;1.22;251666;13.42;10.021850778;0.00
little_global_idle;300000;385.200;5.520896;6.221791;3.729340;1.536446;18813920;1.75;58510131;1.95;301295;13.59;10.015885690;0.00
little_global_idle;400000;381.600;5.384136;6.207589;3.717242;1.825220;16435904;3.26;55505230;3.44;289625;13.22;10.012931271;0.00
little_global_idle;500000;381.600;5.346264;6.212849;3.717242;2.093480;15238218;1.78;55044744;1.96;290040;16.38;10.010994918;0.00
little_global_idle;600000;385.200;5.339426;6.194965;3.707511;2.722576;16936939;1.50;65843817;1.94;288999;16.53;10.009905977;0.00
little_global_idle;700000;385.200;5.338900;6.205748;3.708300;3.345623;16489140;2.64;66138518;2.75;277206;13.95;10.008911204;0.00
little_global_idle;800000;385.200;5.320227;6.193913;3.707511;3.939740;14303801;3.83;60378037;4.29;276857;14.71;10.008239743;0.00
little_global_idle;900000;388.800;5.339163;6.199173;3.707511;4.801328;14082525;1.78;62936800;1.83;297405;13.01;10.007967997;0.00
little_global_idle;1000000;388.800;5.340478;6.198910;3.707511;5.643717;14488153;2.79;68005209;2.82;294095;13.23;10.007443980;0.00
little_global_idle;1100000;388.800;5.313915;6.204959;3.707511;7.885529;20928427;2.44;105372120;2.57;310657;13.42;10.007104666;0.00
little_global_idle;1200000;385.200;5.322594;6.198647;3.707511;7.872379;18087629;3.80;94184556;3.85;292993;13.19;10.006803047;0.00
little_global_idle;1300000;388.800;5.361518;6.199699;3.699358;9.460636;16467761;2.00;90134132;2.00;295656;16.68;10.006724078;0.00
little_global_idle;1400000;388.800;5.385188;6.195491;3.707774;11.305055;15838748;1.58;91524709;1.82;282657;12.64;10.006578952;0.00
